order_id,order_datetime,store_id,product_id,promotion_id,channel,payment_method,units,unit_selling_price,discount_pct_applied,order_status
BF2025-000001,2025-11-22 18:02:26,S015,P0057,PR005,Online,Card,2,33.88,22.9,Completed
BF2025-000002,2025-11-22 07:54:50,S026,P0103,,In-Store,Digital Wallet,3,24.86,0.0,Completed
BF2025-000003,2025-11-28 20:38:22,S016,P0052,,In-Store,Card,4,309.56,0.0,Completed
BF2025-000004,2025-11-22 21:54:41,S014,P0051,PR006,In-Store,Digital Wallet,5,169.59,50.5,Completed
BF2025-000005,2025-11-30 19:27:52,S003,P0014,PR012,In-Store,Card,5,30.66,50.5,Completed
BF2025-000006,2025-11-29 12:33:52,S030,P0104,PR009,In-Store,Card,5,38.93,32.8,Completed
BF2025-000007,2025-11-22 16:45:42,S020,P0093,,In-Store,Digital Wallet,2,188.88,0.0,Completed
BF2025-000008,2025-11-28 16:31:01,S023,P0049,,In-Store,Card,3,12.58,0.0,Completed
BF2025-000009,2025-11-24 21:51:11,S021,P0011,,Online,Card,2,113.28,0.0,Completed
BF2025-000010,2025-11-30 17:44:35,S002,P0048,PR007,In-Store,Card,2,69.48,53.3,Completed
BF2025-000011,2025-11-26 11:08:53,S029,P0116,PR014,Online,Cash,3,117.47,32.8,Completed
BF2025-000012,2025-11-28 09:51:14,S009,P0039,,Online,Digital Wallet,4,25.73,0.0,Completed
BF2025-000013,2025-11-29 21:16:47,S015,P0023,PR008,Online,Digital Wallet,2,192.48,31.2,Completed
BF2025-000014,2025-11-22 07:39:34,S002,P0119,PR009,Online,Cash,2,39.65,33.5,Completed
BF2025-000015,2025-11-25 11:13:24,S005,P0001,,Online,Digital Wallet,2,903.94,11.6,Completed
BF2025-000016,2025-11-24 10:35:14,S028,P0058,PR014,In-Store,Card,3,25.05,34.5,Completed
BF2025-000017,2025-11-30 00:19:55,S006,P0098,,Online,Digital Wallet,3,215.13,0.0,Completed
BF2025-000018,2025-11-23 18:01:59,S026,P0035,PR005,In-Store,Digital Wallet,3,91.95,26.1,Completed
BF2025-000019,2025-11-23 11:38:19,S025,P0010,PR007,Online,Digital Wallet,3,44.02,48.9,Completed
BF2025-000020,2025-11-23 04:01:40,S021,P0008,,Online,Digital Wallet,2,19.21,5.2,Completed
BF2025-000021,2025-11-28 14:10:10,S009,P0087,PR001,In-Store,Card,1,71.44,37.8,Completed
BF2025-000022,2025-11-29 07:37:36,S006,P0067,,Online,Card,4,137.4,0.0,Completed
BF2025-000023,2025-11-28 11:56:05,S024,P0107,,Online,Card,1,74.73,0.0,Completed
BF2025-000024,2025-11-30 06:20:28,S027,P0089,PR008,In-Store,Digital Wallet,3,58.08,34.4,Completed
BF2025-000025,2025-11-29 02:31:00,S007,P0052,,Online,Card,3,321.99,0.0,Completed
BF2025-000026,2025-11-27 14:44:34,S029,P0061,PR009,Online,Cash,1,6.28,34.6,Completed
BF2025-000027,2025-11-30 07:11:05,S015,P0091,PR009,In-Store,Card,2,105.14,31.3,Completed
BF2025-000028,2025-11-30 15:12:40,S015,P0107,PR002,Online,Card,5,59.44,21.8,Completed
BF2025-000029,2025-11-28 02:48:50,S023,P0075,PR002,Online,Card,3,233.03,21.4,Completed
BF2025-000030,2025-11-28 18:15:02,S007,P0073,,Online,Card,1,46.63,8.4,Completed
BF2025-000031,2025-11-24 17:56:08,S026,P0069,PR016,Online,Digital Wallet,1,15.4,52.7,Completed
BF2025-000032,2025-11-29 13:16:29,S014,P0064,PR007,Online,Card,3,13.68,50.0,Completed
BF2025-000033,2025-11-24 00:07:22,S004,P0019,PR017,Online,Digital Wallet,2,440.1,37.4,Completed
BF2025-000034,2025-11-28 12:50:09,S025,P0111,PR017,Online,Digital Wallet,3,143.02,34.0,Completed
BF2025-000035,2025-11-28 00:20:33,S030,P0034,PR006,Online,Cash,4,127.71,50.1,Completed
BF2025-000036,2025-11-28 14:04:28,S019,P0115,PR002,Online,Cash,5,129.69,22.7,Completed
BF2025-000037,2025-11-30 10:40:44,S023,P0048,,Online,Card,3,151.7,0.0,Completed
BF2025-000038,2025-11-23 02:24:19,S021,P0016,PR012,In-Store,Cash,3,466.25,47.5,Completed
BF2025-000039,2025-11-25 04:16:17,S009,P0081,PR018,In-Store,Card,3,79.95,16.8,Returned
BF2025-000040,2025-11-27 16:32:32,S001,P0065,PR008,In-Store,Card,3,18.36,30.9,Completed
BF2025-000041,2025-11-26 07:24:54,S029,P0111,,In-Store,Cash,4,209.11,0.0,Completed
BF2025-000042,2025-11-24 14:21:24,S009,P0027,,In-Store,Digital Wallet,4,144.37,0.0,Completed
BF2025-000043,2025-11-27 23:17:11,S029,P0019,PR016,Online,Digital Wallet,1,331.12,52.9,Completed
BF2025-000044,2025-11-29 16:55:27,S004,P0086,PR015,Online,Cash,6,19.86,24.8,Returned
BF2025-000045,2025-11-25 12:10:25,S007,P0007,PR006,In-Store,Cash,2,102.9,47.3,Completed
BF2025-000046,2025-11-28 21:47:16,S005,P0069,PR016,Online,Card,1,16.28,50.7,Completed
BF2025-000047,2025-11-29 00:20:39,S023,P0099,PR002,Online,Card,2,224.1,20.2,Completed
BF2025-000048,2025-11-24 18:51:12,S016,P0065,PR014,Online,Card,2,18.49,29.0,Completed
BF2025-000049,2025-11-23 19:03:23,S021,P0119,,Online,Card,4,60.67,0.0,Completed
BF2025-000050,2025-11-25 18:00:33,S023,P0067,,In-Store,Card,2,125.34,5.6,Completed
BF2025-000051,2025-11-29 13:09:23,S023,P0033,PR009,Online,Card,1,32.16,32.4,Completed
BF2025-000052,2025-11-28 05:33:50,S027,P0012,,Online,Cash,1,540.64,7.8,Completed
BF2025-000053,2025-11-22 06:28:06,S013,P0063,,Online,Card,1,148.4,0.0,Completed
BF2025-000054,2025-11-28 06:10:48,S027,P0004,PR017,Online,Digital Wallet,1,531.19,31.4,Completed
BF2025-000055,2025-11-29 13:08:59,S014,P0006,PR009,Online,Digital Wallet,1,77.29,35.1,Completed
BF2025-000056,2025-11-28 23:56:57,S012,P0097,PR008,In-Store,Digital Wallet,1,18.72,33.1,Completed
BF2025-000057,2025-11-26 11:26:25,S025,P0076,,In-Store,Cash,3,1085.49,0.0,Completed
BF2025-000058,2025-11-25 10:04:22,S016,P0012,,Online,Digital Wallet,3,576.41,0.0,Completed
BF2025-000059,2025-11-28 16:59:03,S020,P0114,,Online,Cash,1,72.06,0.0,Completed
BF2025-000060,2025-11-22 18:09:51,S008,P0060,PR011,Online,Card,2,126.91,41.3,Completed
BF2025-000061,2025-11-29 12:47:12,S017,P0029,,In-Store,Digital Wallet,3,162.26,0.0,Completed
BF2025-000062,2025-11-28 23:57:43,S019,P0110,PR008,Online,Digital Wallet,3,78.81,29.6,Completed
